0,tt0114709,"led woody andy toys live happily room andy birthday brings buzz lightyear onto scene afraid losing place andy heart woody plots buzz circumstances separate buzz woody owner duo eventually learns put aside differences"
1,tt0113277,"obsessive master thief neil mccauley leads top-notch crew various insane heists throughout los angeles mentally unstable detective vincent hanna pursues without rest man recognizes respects ability dedication even though aware cat-and-mouse game may end violence"
2,tt0112641,"life gambling paradise las vegas dark mafia underbelly"
3,tt0114369,"two homicide detectives desperate hunt serial killer whose crimes based seven deadly sins dark haunting film takes viewers tortured remains one victim next seasoned det sommerset researches sin effort get inside killer mind novice partner mills scoffs efforts unravel case"
4,tt0114814,"held l.a. interrogation room verbal kint attempts convince feds mythic crime lord keyser soze exists also responsible drawing four partners multi-million dollar heist ended explosion san pedro harbor leaving survivors verbal lures interrogators incredible story crime lord almost supernatural prowess"
5,tt0113247,"aimlessly whiling away days concrete environs dead-end suburbia vinz hubert said -- jew african arab -- give human faces france immigrant populations bristling resentment social marginalization slowly simmering reaches climactic boiling point la haine means hate"
6,tt0112573,"enraged slaughter murron new bride childhood love scottish warrior william wallace slays platoon local english lord soldiers leads village revolt eventually entire country rise english rule"
7,tt0075314,"mentally unstable vietnam war veteran works night-time taxi driver new york city perceived decadence sleaze feeds urge violent action attempting save preadolescent prostitute process"
8,tt0112471,"dialogue marathon film fairytale love story american boy french girl day night together vienna two hearts collide"
9,tt0076759,"princess leia captured held hostage evil imperial forces effort take galactic empire venturesome luke skywalker dashing captain han solo team together loveable robot duo r2-d2 c-3po rescue beautiful princess restore peace justice empire"
10,tt0110413,"leon top hit man new york earned rep effective cleaner next-door neighbors wiped loose-cannon dea agent becomes unwilling custodian 12-year-old mathilda long mathilda thoughts turn revenge considers following leon footsteps"
11,tt0110912,"burger-loving hit man philosophical partner drug-addled gangster moll washed-up boxer converge sprawling comedic crime caper adventures unfurl three stories ingeniously trip back forth time"
12,tt0111161,"framed 1940s double murder wife lover upstanding banker andy dufresne begins new life shawshank prison puts accounting skills work amoral warden long stretch prison dufresne comes admired inmates -- including older prisoner named red -- integrity unquenchable sense hope"
13,tt0109830,"man low iq accomplished great things life present significant historic events - case far exceeding anyone imagined could yet despite things attained one true love eludes 'forrest gump ' story man rose challenges proved determination courage love important ability"
14,tt0110357,"young lion cub named simba ca n't wait king uncle craves title stop nothing get"
15,tt0107207,"small time thief belfast gerry conlon falsely implicated ira bombing pub kills several people london four friends coerced british police confessing guilt gerry father relatives london also implicated crime spends fifteen years prison father trying prove innocence"
